attr_id,adj,label
ability.n.01,accurate,FALSE
ability.n.01,analytical,FALSE
ability.n.01,aspirational,FALSE
ability.n.01,bodily,FALSE
ability.n.01,careless,TRUE
ability.n.01,chilled,FALSE
ability.n.01,conceivable,FALSE
ability.n.01,damaged,TRUE
ability.n.01,dazzling,FALSE
ability.n.01,deliberate,FALSE
ability.n.01,fashionable,FALSE
ability.n.01,fresh,FALSE
ability.n.01,headstrong,FALSE
ability.n.01,honourable,FALSE
ability.n.01,hunger,FALSE
ability.n.01,illuminated,FALSE
ability.n.01,inconclusive,FALSE
ability.n.01,joyful,FALSE
ability.n.01,lawful,FALSE
ability.n.01,multifaceted,FALSE
ability.n.01,noble,FALSE
ability.n.01,obese,FALSE
ability.n.01,potent,FALSE
ability.n.01,preliminary,FALSE
ability.n.01,red,FALSE
ability.n.01,reliable,TRUE
ability.n.01,same,FALSE
ability.n.01,sensitized,FALSE
ability.n.01,serious,FALSE
ability.n.01,spoiled,FALSE
ability.n.01,succinct,FALSE
ability.n.01,suspicious,FALSE
ability.n.01,technical,FALSE
ability.n.01,tight,FALSE
ability.n.01,truthful,FALSE
ability.n.01,unceasing,TRUE
ability.n.01,unjust,FALSE
ability.n.01,unrecognised,FALSE
ability.n.01,user-friendly,FALSE
ability.n.01,watchful,FALSE
ability.n.02,accurate,FALSE
ability.n.02,aspirational,FALSE
ability.n.02,atypical,FALSE
ability.n.02,authorized,FALSE
ability.n.02,bereft,TRUE
ability.n.02,bright,TRUE
ability.n.02,careless,TRUE
ability.n.02,clear,TRUE
ability.n.02,conceivable,FALSE
ability.n.02,conspicuous,FALSE
ability.n.02,correct,FALSE
ability.n.02,crushed,FALSE
ability.n.02,damaged,TRUE
ability.n.02,dazzling,TRUE
ability.n.02,despicable,FALSE
ability.n.02,discernible,FALSE
ability.n.02,east,FALSE
ability.n.02,enshrined,FALSE
ability.n.02,even-handed,TRUE
ability.n.02,exact,TRUE
ability.n.02,fashionable,FALSE
ability.n.02,favourable,FALSE
ability.n.02,fresh,FALSE
ability.n.02,friendly,FALSE
ability.n.02,headstrong,TRUE
ability.n.02,heavier,FALSE
ability.n.02,honourable,TRUE
ability.n.02,horrible,FALSE
ability.n.02,inconclusive,FALSE
ability.n.02,inhumane,FALSE
ability.n.02,inside,FALSE
ability.n.02,invisible,FALSE
ability.n.02,itty-bitty,FALSE
ability.n.02,joyful,FALSE
ability.n.02,lawful,FALSE
ability.n.02,meritorious,TRUE
ability.n.02,modesty,FALSE
ability.n.02,monochrome,FALSE
ability.n.02,monotonous,FALSE
ability.n.02,multifaceted,TRUE
ability.n.02,noble,FALSE
ability.n.02,obese,TRUE
ability.n.02,on-going,FALSE
ability.n.02,plentiful,FALSE
ability.n.02,potent,FALSE
ability.n.02,profit-making,FALSE
ability.n.02,proscribed,FALSE
ability.n.02,public,FALSE
ability.n.02,red,FALSE
ability.n.02,responsible,TRUE
ability.n.02,same,FALSE
ability.n.02,seperate,FALSE
ability.n.02,serious,TRUE
ability.n.02,sinister,FALSE
ability.n.02,solitary,FALSE
ability.n.02,spoiled,FALSE
ability.n.02,static,FALSE
ability.n.02,stimulating,FALSE
ability.n.02,strange,FALSE
ability.n.02,succinct,FALSE
ability.n.02,tight,FALSE
ability.n.02,truthful,FALSE
ability.n.02,unceasing,TRUE
ability.n.02,unjust,FALSE
ability.n.02,unlinked,FALSE
ability.n.02,unproductive,TRUE
ability.n.02,unrecognised,TRUE
ability.n.02,unserviceable,FALSE
ability.n.02,user-friendly,FALSE
ability.n.02,watchful,FALSE
absorbency.n.01,all-encompassing,FALSE
absorbency.n.01,bodily,FALSE
absorbency.n.01,bright,FALSE
absorbency.n.01,careless,FALSE
absorbency.n.01,conspicuous,FALSE
absorbency.n.01,courteous,FALSE
absorbency.n.01,crushed,FALSE
absorbency.n.01,deliberate,FALSE
absorbency.n.01,enshrined,FALSE
absorbency.n.01,even-handed,FALSE
absorbency.n.01,extension,FALSE
absorbency.n.01,favourable,FALSE
absorbency.n.01,fresh,FALSE
absorbency.n.01,heavier,FALSE
absorbency.n.01,inclined,FALSE
absorbency.n.01,inconceivable,FALSE
absorbency.n.01,inconclusive,FALSE
absorbency.n.01,inhumane,FALSE
absorbency.n.01,innovatory,FALSE
absorbency.n.01,invisible,FALSE
absorbency.n.01,obese,FALSE
absorbency.n.01,potent,FALSE
absorbency.n.01,preliminary,FALSE
absorbency.n.01,profit-making,FALSE
absorbency.n.01,rich,FALSE
absorbency.n.01,same,FALSE
absorbency.n.01,serious,FALSE
absorbency.n.01,spoiled,FALSE
absorbency.n.01,stupid,FALSE
absorbency.n.01,suspicious,FALSE
absorbency.n.01,technical,FALSE
absorbency.n.01,tight,FALSE
absorbency.n.01,unjust,FALSE
absorbency.n.01,unlinked,FALSE
absorbency.n.01,unorthodox,FALSE
absorbency.n.01,unpolluted,FALSE
absorbency.n.01,unproductive,FALSE
absorbency.n.01,unrecognised,FALSE
absorbency.n.01,unserviceable,FALSE
absorbency.n.01,user-friendly,FALSE
abstemiousness.n.02,all-encompassing,FALSE
abstemiousness.n.02,analytical,FALSE
abstemiousness.n.02,authorized,FALSE
abstemiousness.n.02,bereft,FALSE
abstemiousness.n.02,bodily,FALSE
abstemiousness.n.02,bright,FALSE
abstemiousness.n.02,clear,FALSE
abstemiousness.n.02,conceivable,FALSE
abstemiousness.n.02,deliberate,TRUE
abstemiousness.n.02,different,FALSE
abstemiousness.n.02,discernible,FALSE
abstemiousness.n.02,enshrined,FALSE
abstemiousness.n.02,exact,FALSE
abstemiousness.n.02,exceptional,FALSE
abstemiousness.n.02,extension,FALSE
abstemiousness.n.02,headstrong,FALSE
abstemiousness.n.02,heavier,FALSE
abstemiousness.n.02,horrible,FALSE
abstemiousness.n.02,illuminated,FALSE
abstemiousness.n.02,inclined,FALSE
abstemiousness.n.02,inhumane,FALSE
abstemiousness.n.02,innovatory,FALSE
abstemiousness.n.02,inside,FALSE
abstemiousness.n.02,joyful,FALSE
abstemiousness.n.02,lawful,FALSE
abstemiousness.n.02,meritorious,FALSE
abstemiousness.n.02,modesty,TRUE
abstemiousness.n.02,monochrome,FALSE
abstemiousness.n.02,plentiful,TRUE
abstemiousness.n.02,potent,FALSE
abstemiousness.n.02,preliminary,FALSE
abstemiousness.n.02,profit-making,FALSE
abstemiousness.n.02,protective,FALSE
abstemiousness.n.02,public,FALSE
abstemiousness.n.02,red,FALSE
abstemiousness.n.02,reliable,FALSE
abstemiousness.n.02,rich,FALSE
